 	X	Y
1	996.000	414.667
2	960.000	333.333
3	913.333	268.000
4	838.667	245.333
5	769.333	268.000
6	721.333	324.000
7	681.333	401.333
8	653.333	496.000
9	665.333	588.000
10	696.000	669.333
11	737.333	742.667
12	841.333	785.333
13	940.000	804.000
14	1044.000	814.667
15	1160.000	813.333
16	1265.333	802.667
17	1358.667	724.000
18	1397.333	624.000
19	1405.333	517.333
20	1386.667	424.000
21	1349.333	350.667
22	1293.333	292.000
23	1234.667	252.000
24	1165.333	262.667
25	1117.333	296.000
26	1086.667	348.000
27	1057.333	398.667
