 	X	Y
1	1020.000	153.333
2	804.000	170.667
3	674.667	178.667
4	560.000	174.667
5	492.000	264.000
6	504.000	378.667
7	549.333	474.667
8	582.667	542.667
9	614.667	662.667
10	577.333	681.333
11	584.000	728.000
12	661.333	806.667
13	764.000	861.333
14	893.333	870.667
15	1000.000	854.667
16	1041.333	846.667
17	1132.000	874.667
18	1252.000	870.667
19	1365.333	830.667
20	1420.000	772.000
21	1469.333	692.000
22	1453.333	632.000
23	1480.000	529.333
24	1464.000	457.333
25	1497.333	416.000
26	1520.000	302.667
27	1513.333	218.667
28	1469.333	172.000
29	1409.333	172.000
30	1328.000	181.333
31	1238.667	170.667
32	1192.000	146.667
